Title,Price,Rating,Reviews,Availability
"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",203.,4.1 out of 5 stars,"1,527",Available
"AOC Gaming Laptop with AMD Ryzen 7 5700U Processor(8C/16T, Up to 4.3GHz) 16.1“ FHD Display Laptop Computer with Backlit Keyboard, 16GB RAM 512GB NVMe SSD, WiFi 6, HDMI, USB3.2, Type-C, 53Wh Battery",599.,4.7 out of 5 stars,"This product was added to Amazon in the last 90 days, and is:",Available
"HP 17 Business Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Pro, Silver",485.,4.2 out of 5 stars,"1,394",Available
"Lenovo IdeaPad 1 Student Laptop, 14"" HD Display Intel Celeron N4020, 4GB RAM, 128GB eMMC,Long Battery Life-Up to 11 Hours, Wi-Fi 6, Windows 11 Home Business Laptop",185.,4.6 out of 5 stars,35,Available
"ACEMAGIC 2024 Newest Gaming Laptop, 16.1-inch FHD Display Laptop with AMD Ryzen 7 5700U Processor(8C/16T), 16GB RAM 512GB ROM Laptop Computer, Support WiFi 6, 53Wh Battery, with Backlit Keyboard",550.,4.5 out of 5 stars,27,Available
ASUS E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black),148.,4.1 out of 5 stars,657,Available
"LENOVO IdeaPad 3i Laptop, 15.6"" HD Touchscreen Display, Intel Core i3-1115G4 Processor, 12GB DDR4 RAM, 256GB PCIe SSD, Bluetooth, Webcam, Wi-Fi 6, HDMI, Windows 11 Home, Grey",323.,4.2 out of 5 stars,601,Available
"HP Stream 14"" HD Lightweight Laptop, Intel Celeron N4120, 16GB RAM, 224GB Storage(64GB eMMC + 160GB Docking Station), Intel UHD Graphics, HD Webcam, 1 Year Office 365, WiFi, Bluetooth, Win 11s, Pink",359.,4.3 out of 5 stars,"1,209",Available
"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",488.,4.1 out of 5 stars,150,Available
"HP Newest 255 G10 15.6"" FHD Business Laptop, AMD Ryzen 7 7730U, 32GB RAM, 1TB PCIe SSD, Numeric Keypad, Webcam, Wi-Fi 6, HDMI, Windows 11 Pro, Black",619.,4.3 out of 5 stars,25,Available
"EYY 15.6 Inch Windows 11 Pro Laptop Computer, Intel Core i5 Processor Laptops, 16GB RAM 512GB SSD, MS Office 2024, 15.6"" FHD 100% sRGB 1920 * 1080, Dual Band Wi-Fi, Bluetooth, Type-C, USB 3.0, HDMI",312.,5.0 out of 5 stars,4,Available
"jumper Laptop, 16 Inch FHD IPS 1200p Screen, 5305U Processor, 4GB RAM 128GB SSD, Office 365 1-Year Subscription, Windows 11 Computer with Numeric Keypad, Stereo Speakers, HDMI, WiFi.",229.,4.6 out of 5 stars,41,Available
"Dell Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",484.,4.0 out of 5 stars,407,Available
"ASUS Vivobook Laptop, 14"" FHD Display, i3-1215U, 16GB RAM, 512GB SSD, Wi-Fi 6, HDMI, Webcam, Touchpad, Windows 11 Home, Blue",311.,4.2 out of 5 stars,15,Available
"ASUS Vivobook Go 15.6” Laptop, AMD Ryzen 5 7520U, 8GB, 512GB, Windows 11 Home, Cool Silver, E1504FA-AS54",369.,4.4 out of 5 stars,157,Available
"16 Inch Laptop Computer, Gaming Laptop, 16GB RAM 512GB SSD, Intel 12th Gen N95 Processor(up to 3.4GHz), FHD 1920 * 1200, 180 Angle Opening, Fingerprint Unlock, Backlit Keyboard, Windows 11 Pro",314.,4.0 out of 5 stars,545,Available
NewLenovo Ideapad 1 Business & Student Laptop 14' HD Display_Intel_Celeron N4020 4GB RAM 128GB EMMC.Intel.UHD Graphics Webcam USB-C Wi-Fi 6 Blue.tooth Battery Life-Up to 11 Hours Win 11 Home in S mode,189.,4.4 out of 5 stars,23,Available
"ASUS Chromebook CM14 Laptop, 14"" HD Anti-Glare Display (1366x768), MediaTek Kompanio 520, 4GB RAM, 64GB eMMC, ChromeOS, Gray, CM1402CM2A-DS44, Gravity Grey",168.,4.3 out of 5 stars,"1,071",Available
"HP 17.3"" Flagship HD+ Business Laptop, 16GB DDR4 RAM, 1TB PCIe SSD, Intel Quad Core i3-1125G4(Beat i5-1035G4), Bluetooth, HDMI, Webcam, Windows 11, Silver, w/GM Accessories",444.,4.3 out of 5 stars,350,Available
"Dell Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 12GB RAM, 256GB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",429.,4.2 out of 5 stars,358,Available
"Dell Chromebook 3180 Laptop Computer, 11.6 Inch Laptop PC, Intel Celeron N3060, 4GB RAM, 16GB SSD, Web Camera, Wi-Fi, Bluetooth, HDMI, Chrome OS (Renewed)",79.,3.7 out of 5 stars,364,Available
"2024 Laptop Computer, 14.1 inch Notebook PC with Intel N4000 Processor, 8GB DDR4 RAM / 256GB SSD, 1080P FHD Display, Dual Band WiFi, BT, Ethernet Port for School, Business",199.,4.6 out of 5 stars,3,Available
